index,text,gold,pred,score,benar
1,"Enak banget makanannya hari ini, ayamnya bumbunya meresap sampai dalam",POSITIF,POSITIF,0.9924699664115906,1
2,"Nasinya pulen, sayur bayamnya seger, aku suka banget",POSITIF,POSITIF,0.9988285899162292,1
3,"Rendangnya mantap, sampai nambah nasi dua kali",POSITIF,POSITIF,0.998246431350708,1
4,"Porsinya pas dan rasanya enak, makasih tim dapur",POSITIF,POSITIF,0.9981568455696106,1
5,"Menunya makin variatif tiap minggu, salut deh",POSITIF,POSITIF,0.9815161228179932,1
6,"Pisangnya manis, seneng ada buah segarnya",POSITIF,POSITIF,0.9970467686653137,1
7,"Telur balado matengnya pas, bumbunya nendang",POSITIF,POSITIF,0.9988535642623901,1
8,"Alhamdulillah kenyang dan enak, semoga besok begini lagi",POSITIF,POSITIF,0.9960808157920837,1
9,"Sup ayamnya hangat dan gurih, ini menu favoritku",POSITIF,POSITIF,0.9983693957328796,1
10,"Tempe orek garing manisnya pas, juara",POSITIF,POSITIF,0.9930611252784729,1
11,"Semua dimakan habis, nggak ada yang nyisa di ompreng",POSITIF,POSITIF,0.604531466960907,1
12,"Ikannya fresh nggak amis, gorengnya kering enak",POSITIF,POSITIF,0.9244258403778076,1
13,"Puas banget hari ini, rasanya pas di lidah",POSITIF,POSITIF,0.9898275136947632,1
14,"Konsisten enak dari kemarin-kemarin, pertahankan ya",POSITIF,POSITIF,0.9922788143157959,1
15,"Sayur sopnya seger, kuahnya bening enak",POSITIF,POSITIF,0.9990376234054565,1
16,"Dagingnya empuk gampang dikunyah, mantap",POSITIF,POSITIF,0.995576024055481,1
17,"Bersih, rapi, dan rasanya enak, terima kasih banyak",POSITIF,POSITIF,0.9964591860771179,1
18,"Hari ini paling enak sih menurutku, lauknya lengkap",POSITIF,POSITIF,0.9975869655609131,1
19,"Bumbu semurnya medok, nasi anget, perfect",POSITIF,POSITIF,0.9924606680870056,1
20,"Seneng banget menunya sehat tapi tetap enak",POSITIF,POSITIF,0.9990166425704956,1
21,"Ayam gorengnya kriuk, sambelnya pas, top markotop",POSITIF,POSITIF,0.9986811280250549,1
22,"Makanannya masih hangat pas dibagiin, enak",POSITIF,POSITIF,0.9956480860710144,1
23,"Gizinya kerasa lengkap, ada protein sayur sama buah",POSITIF,POSITIF,0.9969658255577087,1
24,"Enak dan mengenyangkan, cocok buat sebelum belajar",POSITIF,POSITIF,0.9960116147994995,1
25,"Mantul, porsinya cukup dan rasanya bikin nagih",POSITIF,POSITIF,0.9898397922515869,1
